,0,1
0,985,1.0
1,2024,1.0
2,2731,1.0
3,2720,1.0
4,403,1.0
5,2791,1.0
6,2224,1.0
7,736,1.0
8,2421,1.0
9,256,1.0
10,1124,1.0
11,758,1.0
12,2242,1.0
13,1399,1.0
14,1709,1.0
15,2674,1.0
16,2619,1.0
17,768,1.0
18,1381,1.0
19,497,1.0
20,1056,1.0
21,2714,1.0
22,1554,1.0
23,2005,1.0
24,2605,1.0
25,1544,1.0
26,1652,1.0
27,1335,1.0
28,1727,1.0
29,2818,1.0
30,826,1.0
31,75,1.0
32,2434,1.0
33,741,1.0
34,1565,1.0
35,1997,1.0
36,426,1.0
37,2694,1.0
38,274,1.0
39,2419,1.0
40,302,1.0
41,1201,1.0
42,1155,1.0
43,2076,1.0
44,1580,1.0
45,2165,1.0
46,2482,1.0
47,1577,1.0
48,1166,1.0
49,2353,1.0
50,1461,1.0
51,2742,1.0
52,1164,1.0
53,1414,1.0
54,2346,1.0
55,41,1.0
56,1439,1.0
57,2214,1.0
58,1043,1.0
59,1235,1.0
60,496,1.0
61,2728,1.0
62,688,1.0
63,1704,1.0
64,118,1.0
65,1507,1.0
66,1795,1.0
67,2196,1.0
68,2772,1.0
69,1895,1.0
70,423,1.0
71,326,1.0
72,1457,1.0
73,2839,1.0
74,2278,1.0
75,1115,1.0
76,1212,1.0
77,2532,1.0
78,940,1.0
79,964,1.0
80,2137,1.0
81,2598,1.0
82,885,1.0
83,2726,1.0
84,1681,1.0
85,1161,1.0
86,22,1.0
87,553,1.0
88,2815,1.0
89,621,1.0
90,922,1.0
91,2460,1.0
92,2675,1.0
93,39,1.0
94,2744,1.0
95,1948,1.0
96,1665,1.0
97,1372,1.0
98,542,1.0
99,692,1.0
100,352,1.0
101,1496,1.0
102,2010,1.0
103,133,1.0
104,260,1.0
105,2231,1.0
106,2536,1.0
107,2333,1.0
108,201,1.0
109,1141,1.0
110,253,1.0
111,2281,1.0
112,1386,1.0
113,2095,1.0
114,279,1.0
115,1868,1.0
116,1476,1.0
117,1525,1.0
118,1728,1.0
119,1844,1.0
120,1684,1.0
121,2106,1.0
122,2820,1.0
123,2115,1.0
124,576,1.0
125,2129,1.0
126,2386,1.0
127,1869,1.0
128,481,1.0
129,2230,1.0
130,2860,1.0
131,136,1.0
132,1455,1.0
133,2629,1.0
134,2478,1.0
135,329,1.0
136,810,1.0
137,1912,1.0
138,1398,1.0
139,2156,1.0
140,487,1.0
141,501,1.0
142,1736,1.0
143,159,1.0
144,2383,1.0
145,1137,1.0
146,1539,1.0
147,1783,1.0
148,1505,1.0
149,2546,1.0
150,2561,1.0
151,2273,1.0
152,2592,1.0
153,2551,1.0
154,1385,1.0
155,369,1.0
156,2502,1.0
157,2207,1.0
158,1526,1.0
159,812,1.0
160,2313,1.0
161,1695,1.0
162,714,1.0
163,2654,1.0
164,2640,1.0
165,1983,1.0
166,2709,1.0
167,154,1.0
168,2125,1.0
169,1761,1.0
170,1040,1.0
171,2146,1.0
172,994,1.0
173,1471,1.0
174,2117,1.0
175,1253,1.0
176,724,1.0
177,341,1.0
178,1865,1.0
179,550,1.0
180,962,1.0
181,1702,1.0
182,1578,1.0
183,2759,1.0
184,2727,1.0
185,1057,1.0
186,1566,1.0
187,89,1.0
188,2611,1.0
189,1306,1.0
190,888,1.0
191,2229,1.0
192,2150,1.0
193,636,1.0
194,155,1.0
195,2282,1.0
196,1466,1.0
197,1819,1.0
198,534,1.0
199,662,1.0
200,53,1.0
201,1198,1.0
202,1001,1.0
203,2466,1.0
204,2729,1.0
205,2362,1.0
206,1134,1.0
207,1510,1.0
208,2555,1.0
209,33,1.0
210,1974,1.0
211,860,1.0
212,2344,1.0
213,572,1.0
214,886,1.0
215,518,1.0
216,1320,1.0
217,1626,1.0
218,1966,1.0
219,1508,1.0
220,1406,1.0
221,819,1.0
222,2713,1.0
223,2420,1.0
224,1325,1.0
225,1026,1.0
226,109,1.0
227,1195,1.0
228,2846,1.0
229,563,1.0
230,2613,1.0
231,2006,1.0
232,1715,1.0
233,31,1.0
234,176,1.0
235,1628,1.0
236,1560,1.0
237,2467,1.0
238,1293,1.0
239,1689,1.0
240,2704,1.0
241,1351,1.0
242,2145,1.0
243,1503,1.0
244,1637,1.0
245,2564,1.0
246,690,1.0
247,1255,1.0
248,172,1.0
249,1641,1.0
250,310,1.0
251,1883,1.0
252,1822,1.0
253,2580,1.0
254,1127,1.0
255,1109,1.0
256,2424,1.0
257,949,1.0
258,360,1.0
259,2593,1.0
260,1537,1.0
261,1003,1.0
262,1313,1.0
263,1022,1.0
264,2600,1.0
265,602,1.0
266,1088,1.0
267,606,1.0
268,2013,1.0
269,272,1.0
270,1192,1.0
271,1879,1.0
272,599,1.0
273,1365,1.0
274,1774,1.0
275,432,1.0
276,16,1.0
277,2277,1.0
278,2199,1.0
279,2526,1.0
280,1851,1.0
281,330,1.0
282,1766,1.0
283,236,1.0
284,2126,1.0
285,1346,1.0
286,878,1.0
287,820,1.0
288,2435,1.0
289,1446,1.0
290,2519,1.0
291,895,1.0
292,2643,1.0
293,2097,1.0
294,2830,1.0
295,1342,1.0
296,2088,1.0
297,1815,1.0
298,2233,1.0
299,1302,1.0
300,1296,1.0
301,2798,1.0
302,3,1.0
303,2154,1.0
304,300,1.0
305,757,1.0
306,1698,1.0
307,2385,1.0
308,2882,1.0
309,1265,1.0
310,94,1.0
311,2844,1.0
312,1674,1.0
313,2266,1.0
314,1518,1.0
315,234,1.0
316,2751,1.0
317,191,1.0
318,1279,1.0
319,2754,1.0
320,1771,1.0
321,1606,1.0
322,1148,1.0
323,2443,1.0
324,1651,1.0
325,480,1.0
326,784,1.0
327,2349,1.0
328,206,1.0
329,1585,1.0
330,697,1.0
331,2559,1.0
332,906,1.0
333,1814,1.0
334,731,1.0
335,821,1.0
336,2570,1.0
337,2261,1.0
338,589,1.0
339,863,1.0
340,337,1.0
341,531,1.0
342,840,1.0
343,1058,1.0
344,2328,1.0
345,1435,1.0
346,2667,1.0
347,2644,1.0
348,267,1.0
349,2295,1.0
350,1938,1.0
351,2703,1.0
352,1625,1.0
353,1044,1.0
354,2448,1.0
355,835,1.0
356,1522,1.0
357,304,1.0
358,1388,1.0
359,1047,1.0
360,2347,1.0
361,1071,1.0
362,915,1.0
363,2218,1.0
364,954,1.0
365,298,1.0
366,2104,1.0
367,1284,1.0
368,1041,1.0
369,901,1.0
370,584,1.0
371,2173,1.0
372,752,1.0
373,798,1.0
374,1960,1.0
375,363,1.0
376,925,1.0
377,449,1.0
378,1740,1.0
379,1319,1.0
380,165,1.0
381,2781,1.0
382,567,1.0
383,684,1.0
384,961,1.0
385,689,1.0
386,99,1.0
387,581,1.0
388,495,1.0
389,997,1.0
390,1807,1.0
391,2177,1.0
392,2708,1.0
393,2329,1.0
394,2487,1.0
395,2879,1.0
396,1036,1.0
397,344,1.0
398,941,1.0
399,804,1.0
400,1919,1.0
401,1121,1.0
402,1387,1.0
403,687,1.0
404,862,1.0
405,103,1.0
406,87,1.0
407,364,1.0
408,388,1.0
409,202,1.0
410,2111,1.0
411,1660,1.0
412,2740,1.0
413,2845,1.0
414,2707,1.0
415,2799,1.0
416,1245,1.0
417,890,1.0
418,359,1.0
419,2031,1.0
420,850,1.0
421,2495,1.0
422,2474,1.0
423,1007,1.0
424,754,1.0
425,1891,1.0
426,227,1.0
427,282,1.0
428,667,1.0
429,1424,1.0
430,623,1.0
431,1776,1.0
432,818,1.0
433,1308,1.0
434,969,1.0
435,2237,1.0
436,2116,1.0
437,2382,1.0
438,1422,1.0
439,343,1.0
440,539,1.0
441,913,1.0
442,2642,1.0
443,2855,1.0
444,832,1.0
445,479,1.0
446,2074,1.0
447,646,1.0
448,2847,1.0
449,1741,1.0
450,2516,1.0
451,140,1.0
452,2579,1.0
453,2331,1.0
454,2700,1.0
455,716,1.0
456,1682,1.0
457,2188,1.0
458,1410,1.0
459,944,1.0
460,521,1.0
461,395,1.0
462,2047,1.0
463,2486,1.0
464,2379,1.0
465,1146,1.0
466,1504,1.0
467,416,1.0
468,1833,1.0
469,2535,1.0
470,824,1.0
471,2198,1.0
472,974,1.0
473,2840,1.0
474,1671,1.0
475,1214,1.0
476,2307,1.0
477,122,1.0
478,2602,1.0
479,1450,1.0
480,2706,1.0
481,620,1.0
482,2085,1.0
483,1954,1.0
484,2748,1.0
485,1762,1.0
486,1147,1.0
487,425,1.0
488,213,1.0
489,1206,1.0
490,374,1.0
491,105,1.0
492,528,1.0
493,779,1.0
494,1831,1.0
495,1073,1.0
496,849,1.0
497,839,1.0
498,2038,1.0
499,1076,1.0
500,81,1.0
501,2356,1.0
502,2539,1.0
503,2807,1.0
504,2768,1.0
505,219,1.0
506,1358,1.0
507,124,1.0
508,2814,1.0
509,383,1.0
510,2139,1.0
511,2789,1.0
512,72,1.0
513,838,1.0
514,1081,1.0
515,131,1.0
516,728,1.0
517,2374,1.0
518,415,1.0
519,1244,1.0
520,1852,1.0
521,2301,1.0
522,2027,1.0
523,2823,1.0
524,1911,1.0
525,1277,1.0
526,2305,1.0
527,806,1.0
528,1691,1.0
529,2723,1.0
530,1832,1.0
531,218,1.0
532,1714,1.0
533,1618,1.0
534,1271,1.0
535,1793,1.0
536,460,1.0
537,2625,1.0
538,1129,1.0
539,2784,1.0
540,1857,1.0
541,1421,1.0
542,2399,1.0
543,580,1.0
544,251,1.0
545,1360,1.0
546,406,1.0
547,1917,1.0
548,2854,1.0
549,2764,1.0
550,269,1.0
551,466,1.0
552,1363,1.0
553,1037,1.0
554,2870,1.0
555,50,1.0
556,710,1.0
557,2334,1.0
558,1199,1.0
559,2179,1.0
560,2743,1.0
561,2369,1.0
562,1773,1.0
563,799,1.0
564,350,1.0
565,1053,1.0
566,2745,1.0
567,951,1.0
568,2515,1.0
569,2566,1.0
570,1318,1.0
571,1821,1.0
572,198,1.0
573,44,1.0
574,250,1.0
575,27,1.0
576,413,1.0
577,137,1.0
578,1859,1.0
579,2045,1.0
580,695,1.0
581,1252,1.0
582,1744,1.0
583,208,1.0
584,1169,1.0
585,1995,1.0
586,2494,1.0
587,1751,1.0
588,297,1.0
589,417,1.0
590,2432,1.0
591,123,1.0
592,2335,1.0
593,1242,1.0
594,467,1.0
595,2711,1.0
596,1324,1.0
597,166,1.0
598,2108,1.0
599,2423,1.0
600,49,1.0
601,169,1.0
602,2011,1.0
603,601,1.0
604,1025,1.0
605,7,1.0
606,988,1.0
607,965,1.0
608,732,1.0
609,1941,1.0
610,1738,1.0
611,325,1.0
612,2737,1.0
613,2649,1.0
614,1261,1.0
615,2152,1.0
616,2197,1.0
617,306,1.0
618,587,1.0
619,604,1.0
620,1915,1.0
621,1479,1.0
622,1591,1.0
623,805,1.0
624,2241,1.0
625,903,1.0
626,411,1.0
627,565,1.0
628,1191,1.0
629,2499,1.0
630,2427,1.0
631,2082,1.0
632,763,1.0
633,2739,1.0
634,2057,1.0
635,815,1.0
636,1077,1.0
637,1018,1.0
638,192,1.0
639,339,1.0
640,722,1.0
641,2634,1.0
642,494,1.0
643,1228,1.0
644,2107,1.0
645,2538,1.0
646,1837,1.0
647,2348,1.0
648,1364,1.0
649,2621,1.0
650,789,1.0
651,973,1.0
652,1874,1.0
653,809,1.0
654,2091,1.0
655,371,1.0
656,514,1.0
657,703,1.0
658,2193,1.0
659,1105,1.0
660,2584,1.0
661,284,1.0
662,1621,1.0
663,2531,1.0
664,2616,1.0
665,2833,1.0
666,1290,1.0
667,2757,1.0
668,1456,1.0
669,1408,1.0
670,1078,1.0
671,2431,1.0
672,235,1.0
673,2484,1.0
674,536,1.0
